Niveau,Leçon,Titre_Leçon,Position,Forme_JP,Traduction_EN,Traduction_FR,URL_EN,URL_FR,URL_JA
N5,Leçon 4,Noms et verbes supplémentaires,1/13,の,Nominalizer,Nominalisateur,https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AF,https://bunpro.jp/fr/grammar_points/%E3%81%AE%E3%81%AF,https://bunpro.jp/ja/grammar_points/%E3%81%AE%E3%81%AF
N5,Leçon 4,Noms et verbes supplémentaires,2/13,い-Adjective + Noun,Describing a noun,Qualifier un nom (い),https://bunpro.jp/grammar_points/%E3%81%84-adjective-noun,https://bunpro.jp/fr/grammar_points/%E3%81%84-adjective-noun,https://bunpro.jp/ja/grammar_points/%E3%81%84-adjective-noun
N5,Leçon 4,Noms et verbes supplémentaires,3/13,な-Adjective + Noun,Describing a noun,Qualifier un nom (な),https://bunpro.jp/grammar_points/%E3%81%AA-adjective-noun,https://bunpro.jp/fr/grammar_points/%E3%81%AA-adjective-noun,https://bunpro.jp/ja/grammar_points/%E3%81%AA-adjective-noun
N5,Leçon 4,Noms et verbes supplémentaires,4/13,へいく,To go to,Aller à,https://bunpro.jp/grammar_points/%E3%81%B8%E3%81%84%E3%81%8F,https://bunpro.jp/fr/grammar_points/%E3%81%B8%E3%81%84%E3%81%8F,https://bunpro.jp/ja/grammar_points/%E3%81%B8%E3%81%84%E3%81%8F
N5,Leçon 4,Noms et verbes supplémentaires,5/13,する,To do,Faire,https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B,https://bunpro.jp/fr/grammar_points/%E3%81%99%E3%82%8B,https://bunpro.jp/ja/grammar_points/%E3%81%99%E3%82%8B
N5,Leçon 4,Noms et verbes supplémentaires,6/13,くる,To come,Venir,https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%8B,https://bunpro.jp/fr/grammar_points/%E3%81%8F%E3%82%8B,https://bunpro.jp/ja/grammar_points/%E3%81%8F%E3%82%8B
N5,Leçon 4,Noms et verbes supplémentaires,7/13,る-Verb (Past),Past tense (る verbs),Passé (verbes en る),https://bunpro.jp/grammar_points/%E3%82%8B-verb-past,https://bunpro.jp/fr/grammar_points/%E3%82%8B-verb-past,https://bunpro.jp/ja/grammar_points/%E3%82%8B-verb-past
N5,Leçon 4,Noms et verbes supplémentaires,8/13,う-Verb (Past),Past tense (う verbs),Passé (verbes en う),https://bunpro.jp/grammar_points/%E3%81%86-verb-past,https://bunpro.jp/fr/grammar_points/%E3%81%86-verb-past,https://bunpro.jp/ja/grammar_points/%E3%81%86-verb-past
N5,Leçon 4,Noms et verbes supplémentaires,9/13,好き,"Like, Fond of","Aimer, Apprécier",https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8D,https://bunpro.jp/fr/grammar_points/%E3%81%99%E3%81%8D,https://bunpro.jp/ja/grammar_points/%E3%81%99%E3%81%8D
N5,Leçon 4,Noms et verbes supplémentaires,10/13,きらい,Dislike,"Ne pas aimer, Détester",https://bunpro.jp/grammar_points/%E3%81%8D%E3%82%89%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%8D%E3%82%89%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%8D%E3%82%89%E3%81%84
N5,Leçon 4,Noms et verbes supplémentaires,11/13,のがすき,Like doing,Aimer faire,https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%99%E3%81%8D,https://bunpro.jp/fr/grammar_points/%E3%81%AE%E3%81%8C%E3%81%99%E3%81%8D,https://bunpro.jp/ja/grammar_points/%E3%81%AE%E3%81%8C%E3%81%99%E3%81%8D
N5,Leçon 4,Noms et verbes supplémentaires,12/13,がある + Noun,Noun that has Noun,Nom qui a Nom,https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B-noun,https://bunpro.jp/fr/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B-noun,https://bunpro.jp/ja/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B-noun
N5,Leçon 4,Noms et verbes supplémentaires,13/13,い-Adjectives くない,Not (adjective),Pas + adjectif (négation),https://bunpro.jp/grammar_points/negative-%E3%81%84-adjectives,https://bunpro.jp/fr/grammar_points/negative-%E3%81%84-adjectives,https://bunpro.jp/ja/grammar_points/negative-%E3%81%84-adjectives
N5,Leçon 5,Raisons et connexions,1/12,で,"With, By (using)","Avec, En (utilisant)",https://bunpro.jp/grammar_points/%E3%81%A7-by,https://bunpro.jp/fr/grammar_points/%E3%81%A7-by,https://bunpro.jp/ja/grammar_points/%E3%81%A7-by
N5,Leçon 5,Raisons et connexions,2/12,ので,"Because, Since","Parce que, Puisque",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A7,https://bunpro.jp/fr/grammar_points/%E3%81%AE%E3%81%A7,https://bunpro.jp/ja/grammar_points/%E3%81%AE%E3%81%A7
N5,Leçon 5,Raisons et connexions,3/12,から,"Because, Since","Parce que, Puisque",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89-because,https://bunpro.jp/fr/grammar_points/%E3%81%8B%E3%82%89-because,https://bunpro.jp/ja/grammar_points/%E3%81%8B%E3%82%89-because
N5,Leçon 5,Raisons et connexions,4/12,から,From,"À partir de, Depuis",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89,https://bunpro.jp/fr/grammar_points/%E3%81%8B%E3%82%89,https://bunpro.jp/ja/grammar_points/%E3%81%8B%E3%82%89
N5,Leçon 5,Raisons et connexions,5/12,けど・だけど,"But, However","Mais, Cependant",https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9,https://bunpro.jp/fr/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9,https://bunpro.jp/ja/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9
N5,Leçon 5,Raisons et connexions,6/12,が,"But, However","Mais, Cependant",https://bunpro.jp/grammar_points/%E3%81%8C-but,https://bunpro.jp/fr/grammar_points/%E3%81%8C-but,https://bunpro.jp/ja/grammar_points/%E3%81%8C-but
N5,Leçon 5,Raisons et connexions,7/12,る-Verb (Negative-Past),Did not (る verbs),Passé négatif (verbes en る),https://bunpro.jp/grammar_points/%E3%82%8B-verb-neg-past,https://bunpro.jp/fr/grammar_points/%E3%82%8B-verb-neg-past,https://bunpro.jp/ja/grammar_points/%E3%82%8B-verb-neg-past
N5,Leçon 5,Raisons et connexions,8/12,う-Verb (Negative-Past),Did not (う verbs),Passé négatif (verbes en う),https://bunpro.jp/grammar_points/%E3%81%86-verb-neg-past,https://bunpro.jp/fr/grammar_points/%E3%81%86-verb-neg-past,https://bunpro.jp/ja/grammar_points/%E3%81%86-verb-neg-past
N5,Leçon 5,Raisons et connexions,9/12,Verb + て,"And, Then (linking)","Et, Puis (liaison)",https://bunpro.jp/grammar_points/verb-%E3%81%A6,https://bunpro.jp/fr/grammar_points/verb-%E3%81%A6,https://bunpro.jp/ja/grammar_points/verb-%E3%81%A6
N5,Leçon 5,Raisons et connexions,10/12,ている①,"Is, Am, Are (~ing)",En train de ~,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1,https://bunpro.jp/fr/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1,https://bunpro.jp/ja/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1
N5,Leçon 5,Raisons et connexions,11/12,へ,"To, Toward","Vers, À",https://bunpro.jp/grammar_points/%E3%81%B8,https://bunpro.jp/fr/grammar_points/%E3%81%B8,https://bunpro.jp/ja/grammar_points/%E3%81%B8
N5,Leçon 5,Raisons et connexions,12/12,Verb + にいく,To go in order to,Aller faire,https://bunpro.jp/grammar_points/verb-%E3%81%AB%E3%81%84%E3%81%8F,https://bunpro.jp/fr/grammar_points/verb-%E3%81%AB%E3%81%84%E3%81%8F,https://bunpro.jp/ja/grammar_points/verb-%E3%81%AB%E3%81%84%E3%81%8F
N5,Leçon 6,Questions et descriptions,1/17,誰,Who,Qui,https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8C,https://bunpro.jp/fr/grammar_points/%E3%81%A0%E3%82%8C,https://bunpro.jp/ja/grammar_points/%E3%81%A0%E3%82%8C
N5,Leçon 6,Questions et descriptions,2/17,なぜ,Why (formal),Pourquoi (formel),https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%9C,https://bunpro.jp/fr/grammar_points/%E3%81%AA%E3%81%9C,https://bunpro.jp/ja/grammar_points/%E3%81%AA%E3%81%9C
N5,Leçon 6,Questions et descriptions,3/17,どうして,Why (neutral),Pourquoi (neutre),https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6,https://bunpro.jp/fr/grammar_points/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6,https://bunpro.jp/ja/grammar_points/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6
N5,Leçon 6,Questions et descriptions,4/17,なんで,Why (casual),Pourquoi (informel),https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%93%E3%81%A7,https://bunpro.jp/fr/grammar_points/%E3%81%AA%E3%82%93%E3%81%A7,https://bunpro.jp/ja/grammar_points/%E3%81%AA%E3%82%93%E3%81%A7
N5,Leçon 6,Questions et descriptions,5/17,い-Adjective (Predicate),Predicate adjective い,Prédicat adjectif en い,https://bunpro.jp/grammar_points/%E3%81%84-adjective-predicate,https://bunpro.jp/fr/grammar_points/%E3%81%84-adjective-predicate,https://bunpro.jp/ja/grammar_points/%E3%81%84-adjective-predicate
N5,Leçon 6,Questions et descriptions,6/17,な-Adjective (Predicate),Predicate adjective な,Prédicat adjectif en な,https://bunpro.jp/grammar_points/%E3%81%AA-adjective-predicate,https://bunpro.jp/fr/grammar_points/%E3%81%AA-adjective-predicate,https://bunpro.jp/ja/grammar_points/%E3%81%AA-adjective-predicate
N5,Leçon 6,Questions et descriptions,7/17,だった・でした,"Was, Were (past)",Était (passé nom/adj-な),https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%A3%E3%81%9F-%E3%81%A7%E3%81%97%E3%81%9F,https://bunpro.jp/fr/grammar_points/%E3%81%A0%E3%81%A3%E3%81%9F-%E3%81%A7%E3%81%97%E3%81%9F,https://bunpro.jp/ja/grammar_points/%E3%81%A0%E3%81%A3%E3%81%9F-%E3%81%A7%E3%81%97%E3%81%9F
N5,Leçon 6,Questions et descriptions,8/17,じゃない,Is not,N'est pas,https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84
N5,Leçon 6,Questions et descriptions,9/17,じゃなかった,Was not,N'était pas,https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F,https://bunpro.jp/fr/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F,https://bunpro.jp/ja/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F
N5,Leçon 6,Questions et descriptions,10/17,い-Adjective くなかった,Was not (adjective),N'était pas (adj-い),https://bunpro.jp/grammar_points/%E3%81%84-Adjective-%E3%81%8F%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F,https://bunpro.jp/fr/grammar_points/%E3%81%84-Adjective-%E3%81%8F%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F,https://bunpro.jp/ja/grammar_points/%E3%81%84-Adjective-%E3%81%8F%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F
N5,Leçon 6,Questions et descriptions,11/17,と,Quotation particle,Particule de citation,https://bunpro.jp/grammar_points/%E3%81%A8,https://bunpro.jp/fr/grammar_points/%E3%81%A8,https://bunpro.jp/ja/grammar_points/%E3%81%A8
N5,Leçon 6,Questions et descriptions,12/17,って,Casual quotation,Citation informelle,https://bunpro.jp/grammar_points/%E3%81%A3%E3%81%A6,https://bunpro.jp/fr/grammar_points/%E3%81%A3%E3%81%A6,https://bunpro.jp/ja/grammar_points/%E3%81%A3%E3%81%A6
N5,Leçon 6,Questions et descriptions,13/17,Verbs (Non-past),Non-past tense,Présent/futur,https://bunpro.jp/grammar_points/verb-non-past,https://bunpro.jp/fr/grammar_points/verb-non-past,https://bunpro.jp/ja/grammar_points/verb-non-past
N5,Leçon 6,Questions et descriptions,14/17,Verb + Noun,Relative clause,Proposition relative,https://bunpro.jp/grammar_points/verb-%E3%81%9F-noun,https://bunpro.jp/fr/grammar_points/verb-%E3%81%9F-noun,https://bunpro.jp/ja/grammar_points/verb-%E3%81%9F-noun
N5,Leçon 6,Questions et descriptions,15/17,が・の (Subject),Particle swapping,Échange de particules,https://bunpro.jp/grammar_points/%E3%81%AE-subject,https://bunpro.jp/fr/grammar_points/%E3%81%AE-subject,https://bunpro.jp/ja/grammar_points/%E3%81%AE-subject
N5,Leçon 6,Questions et descriptions,16/17,の,Possessive omission,Appartenance (omission),https://bunpro.jp/grammar_points/%E3%81%AE-noun-ommission,https://bunpro.jp/fr/grammar_points/%E3%81%AE-noun-ommission,https://bunpro.jp/ja/grammar_points/%E3%81%AE-noun-ommission
N5,Leçon 6,Questions et descriptions,17/17,な,Do not (prohibitive),Ne fais pas (interdiction),https://bunpro.jp/grammar_points/%E3%81%AA,https://bunpro.jp/fr/grammar_points/%E3%81%AA,https://bunpro.jp/ja/grammar_points/%E3%81%AA
N5,Leçon 7,Quantificateurs et actions,1/13,だけ,"Only, Just","Juste, Seulement",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91,https://bunpro.jp/fr/grammar_points/%E3%81%A0%E3%81%91,https://bunpro.jp/ja/grammar_points/%E3%81%A0%E3%81%91
N5,Leçon 7,Quantificateurs et actions,2/13,どれ,Which (3+),Lequel (parmi 3+),https://bunpro.jp/grammar_points/%E3%81%A9%E3%82%8C,https://bunpro.jp/fr/grammar_points/%E3%81%A9%E3%82%8C,https://bunpro.jp/ja/grammar_points/%E3%81%A9%E3%82%8C
N5,Leçon 7,Quantificateurs et actions,3/13,どこ,Where,Où,https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%93,https://bunpro.jp/fr/grammar_points/%E3%81%A9%E3%81%93,https://bunpro.jp/ja/grammar_points/%E3%81%A9%E3%81%93
N5,Leçon 7,Quantificateurs et actions,4/13,どの,Which (noun modifier),Lequel (modificateur),https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%AE,https://bunpro.jp/fr/grammar_points/%E3%81%A9%E3%81%AE,https://bunpro.jp/ja/grammar_points/%E3%81%A9%E3%81%AE
N5,Leçon 7,Quantificateurs et actions,5/13,ている②,State of being,État d'être,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B2,https://bunpro.jp/fr/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B2,https://bunpro.jp/ja/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B2
N5,Leçon 7,Quantificateurs et actions,6/13,てから,After doing,Après avoir fait,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8B%E3%82%89,https://bunpro.jp/fr/grammar_points/%E3%81%A6%E3%81%8B%E3%82%89,https://bunpro.jp/ja/grammar_points/%E3%81%A6%E3%81%8B%E3%82%89
N5,Leçon 7,Quantificateurs et actions,7/13,Verb + て + B,And then (sequence),Et puis (séquence),https://bunpro.jp/grammar_points/verb-%E3%81%A6-b,https://bunpro.jp/fr/grammar_points/verb-%E3%81%A6-b,https://bunpro.jp/ja/grammar_points/verb-%E3%81%A6-b
N5,Leçon 7,Quantificateurs et actions,8/13,もう,"Already, Anymore","Déjà, Plus",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%86,https://bunpro.jp/fr/grammar_points/%E3%82%82%E3%81%86,https://bunpro.jp/ja/grammar_points/%E3%82%82%E3%81%86
