Niveau,Leçon,Titre_Leçon,Position,Forme_JP,Traduction_EN,Traduction_FR,URL_EN,URL_FR,URL_JA
N3,Leçon 1,"Devoir, Pendant, Selon",13/23,によると,According to,"Selon, D'après",https://bunpro.jp/grammar_points/%E3%81%AB%E3%82%88%E3%82%8B%E3%81%A8-%E3%81%AB%E3%82%88%E3%82%8C%E3%81%B0,https://bunpro.jp/fr/grammar_points/%E3%81%AB%E3%82%88%E3%82%8B%E3%81%A8-%E3%81%AB%E3%82%88%E3%82%8C%E3%81%B0,https://bunpro.jp/ja/grammar_points/%E3%81%AB%E3%82%88%E3%82%8B%E3%81%A8-%E3%81%AB%E3%82%88%E3%82%8C%E3%81%B0
N3,Leçon 1,"Devoir, Pendant, Selon",14/23,による,"By means of, Depending on","Selon, En raison de",https://bunpro.jp/grammar_points/%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6-%E3%81%AB%E3%82%88%E3%82%8B,https://bunpro.jp/fr/grammar_points/%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6-%E3%81%AB%E3%82%88%E3%82%8B,https://bunpro.jp/ja/grammar_points/%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6-%E3%81%AB%E3%82%88%E3%82%8B
N3,Leçon 1,"Devoir, Pendant, Selon",15/23,全く～ない,Not at all,Pas du tout,https://bunpro.jp/grammar_points/%E5%85%A8%E3%81%8F-%E3%81%AA%E3%81%84,https://bunpro.jp/fr/grammar_points/%E5%85%A8%E3%81%8F-%E3%81%AA%E3%81%84,https://bunpro.jp/ja/grammar_points/%E5%85%A8%E3%81%8F-%E3%81%AA%E3%81%84
N3,Leçon 1,"Devoir, Pendant, Selon",16/23,ことだ,"Should, Ought","Devrait, Il faut",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%A0,https://bunpro.jp/fr/grammar_points/%E3%81%93%E3%81%A8%E3%81%A0,https://bunpro.jp/ja/grammar_points/%E3%81%93%E3%81%A8%E3%81%A0
N3,Leçon 1,"Devoir, Pendant, Selon",17/23,そうだ,"I heard that, It is said that","J'ai entendu que, On dit que",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%A0,https://bunpro.jp/fr/grammar_points/%E3%81%9D%E3%81%86%E3%81%A0,https://bunpro.jp/ja/grammar_points/%E3%81%9D%E3%81%86%E3%81%A0
N3,Leçon 1,"Devoir, Pendant, Selon",18/23,すると,"Having done..., Then","Alors, Après avoir fait",https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B%E3%81%A8,https://bunpro.jp/fr/grammar_points/%E3%81%99%E3%82%8B%E3%81%A8,https://bunpro.jp/ja/grammar_points/%E3%81%99%E3%82%8B%E3%81%A8
N3,Leçon 1,"Devoir, Pendant, Selon",19/23,そうすると,"Having done that, Then","Alors, Si c'est le cas",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%99%E3%82%8B%E3%81%A8,https://bunpro.jp/fr/grammar_points/%E3%81%9D%E3%81%86%E3%81%99%E3%82%8B%E3%81%A8,https://bunpro.jp/ja/grammar_points/%E3%81%9D%E3%81%86%E3%81%99%E3%82%8B%E3%81%A8
N3,Leçon 1,"Devoir, Pendant, Selon",20/23,のは～の方だ,"It is...that..., It is...who...","C'est... qui..., C'est... que...",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AFx%E3%81%AE%E6%96%B9%E3%81%A0,https://bunpro.jp/fr/grammar_points/%E3%81%AE%E3%81%AFx%E3%81%AE%E6%96%B9%E3%81%A0,https://bunpro.jp/ja/grammar_points/%E3%81%AE%E3%81%AFx%E3%81%AE%E6%96%B9%E3%81%A0
N3,Leçon 1,"Devoir, Pendant, Selon",21/23,Noun + 型,"Model, Type, Pattern","Modèle, Type",https://bunpro.jp/grammar_points/noun-%E5%9E%8B,https://bunpro.jp/fr/grammar_points/noun-%E5%9E%8B,https://bunpro.jp/ja/grammar_points/noun-%E5%9E%8B
N3,Leçon 1,"Devoir, Pendant, Selon",22/23,てごらん,"Please try to, Please look","Essaie de, Regarde",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%94%E3%82%89%E3%82%93,https://bunpro.jp/fr/grammar_points/%E3%81%A6%E3%81%94%E3%82%89%E3%82%93,https://bunpro.jp/ja/grammar_points/%E3%81%A6%E3%81%94%E3%82%89%E3%82%93
N3,Leçon 1,"Devoir, Pendant, Selon",23/23,させてもらう,To take the liberty of doing,Permettre de faire,https://bunpro.jp/grammar_points/%E3%81%95%E3%81%9B%E3%81%A6%E3%82%82%E3%82%89%E3%81%86,https://bunpro.jp/fr/grammar_points/%E3%81%95%E3%81%9B%E3%81%A6%E3%82%82%E3%82%89%E3%81%86,https://bunpro.jp/ja/grammar_points/%E3%81%95%E3%81%9B%E3%81%A6%E3%82%82%E3%82%89%E3%81%86
